DATE,NOTES on Date,EXPENSE CATEGORY,DESCRIPTION,VENDOR,AMOUNT,FIXED/VARIABLE,NOTES,,DATE,EXPENSE CATEGORY,DESCRIPTION,AMOUNT,,,,,,,,,,,,,
2026-04-22,,Production,Linen Fabrics,Awunsi,7485,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-22,,Production,Sewing,MK,2515,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-22,,AI Tools (Pakeru),Anthropic API,Anthropic,142.67,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-23,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,341.89,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-24,,Insurance,Insurance payment,Insurance,565,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-26,,AI Tools (Pakeru),Hostinger hosting,Hostinger,121.49,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-29,,Marketing,Ai,Higgssfield,522,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-29,,Other,Payment to Mr Kay - unclear purpose,Mr Kay,1000,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-29,,AI Tools (Pakeru),Claude sub,Anthropic,286.64,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-30,,Utilities,Fuel,Goil,400,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-30,,AI Tools (Pakeru),Higgsfield AI (image/video gen),Higgsfield,585.22,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-03,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,361.2,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-05,,Production (Pakeru),Linen / fabric purchase,Linen,1820,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-07,,Utilities,Water,Water bill,60,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-07,,AI Tools (Pakeru),Render hosting,Render,84.28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-08,,AI Tools (Pakeru),Anthropic API top-up,Anthropic,72.43,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-09,,Transport,Rider/VIP dispatch,Rider VIP,205,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-15,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,364.43,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-15,,Production (Pakeru),Sunday measurements,Sunday Measurements,205,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-17,,Personal Subs,Google One storage,Google,6,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-21,,Production (Pakeru),Poly mailer bags,Poly Mailer Bags,353.5,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-21,,Utilities,Water,Water,56.56,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-21,,Production (Pakeru),Food,Food,62.5,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-25,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,521.89,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-26,,AI Tools (Pakeru),Hostinger hosting,Hostinger,88.52,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-26,,Production (Pakeru),Fuel,Fuel,305,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-27,,Production (Pakeru),Food,Food,80,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-28,,AI Tools (Pakeru),Claude sub,Anthropic,301.09,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-28,,Utilities,Water,Water,58.5,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-29,,AI Tools (Pakeru),Anthropic API,Anthropic,75.27,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-30,,AI Tools (Pakeru),Anthropic API,Anthropic,75.27,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-30,,AI Tools (Pakeru),Higgsfield AI (image/video gen),Higgsfield,614.72,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-06-01,,Production (Pakeru),Photoshoot - Pool Shoot,Pool Shoot,500,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-06-01,,Other,Cash out to Eric Obeng,Eric Obeng,303,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-06-01,,Production (Pakeru),Tailoring - Jabil,Jabil,200,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-06-01,,Production (Pakeru),Fuel,Fuel,705,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-06-03,,Transport,Bolt ride,Bolt,164,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-06-03,,Production (Pakeru),Food,Food,140,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-06-03,,Other,Cash out to Ibrahim Akon Dawood,Ibrahim Akon Dawood,606,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-06-04,,AI Tools (Pakeru),Claude sub,Anthropic,303.67,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-06-04,,Other,Payment to Elvis - Ride around,Elvis,505,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-06-04,,Transport,Rider/dispatch,Rider,30,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-06-04,,Other,Cash out to Emelia Kumodzi,Emelia Kumodzi,101,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-06-05,,Other,Payment to Paa - Food,Paa,100,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-06-05,,Office,Welfare,Abena,200,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-06-09,,Marketing,LED board advertising,KNUST URO,612,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-06-09,,Utilities,Fuel,ZEN,400,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
